ID,X,Y,area,element,Al2O3,FeO,MgO,Cr2O3,Bal,Al,Si,P,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Zn,Rb,Sr,Zr,Ba
SF019,371487.7315,7217700.026,B,undetermined,0.362,2.923,0,0.011,90.954,0.191,3.721,0.825,0.103,0.062,0.631,0.85,0.243,0.007,0.007,0.077,2.272,0.004,0.002,LOD,0.026,0.023
SF02,371493.8499,7217708.088,B,undetermined,0.336,2.899,0,0.01,91.162,0.178,3.734,0.748,0.095,0.058,0.667,0.704,0.252,0.006,0.007,0.076,2.254,0.004,0.002,LOD,0.033,0.019
SF020,371487.8796,7217702.002,B,undetermined,0.358,3.325,0,0.011,89.471,0.19,3.167,0.794,0.098,0.064,0.656,2.577,0.232,0.008,0.007,0.087,2.585,0.007,0.002,0.004,0.025,0.023
SF021,371487.7161,7217704.099,B,midden_3,0.321,3.232,0,0.011,90.178,0.17,3.488,0.797,0.096,0.064,0.688,1.583,0.287,0.008,0.007,0.058,2.512,0.005,0.002,0.003,0.028,0.023
SF022,371487.9133,7217706.178,B,undetermined,0.295,2.867,0,0.009,91.018,0.156,3.918,0.835,0.094,0.061,0.613,0.706,0.244,0.006,0.006,0.056,2.229,0.003,0.002,LOD,0.03,0.02
SF023,371487.8266,7217708.115,B,undetermined,0.305,2.978,0,0.011,90.838,0.162,3.958,0.815,0.09,0.057,0.703,0.634,0.262,0.007,0.007,0.087,2.315,0.004,0.002,LOD,0.026,0.029
SF024,371487.8284,7217710.054,B,undetermined,0.463,3.031,0,0.013,90.768,0.245,4.058,0.812,0.093,0.06,0.673,0.544,0.234,0.007,0.009,0.086,2.356,0.003,0.002,LOD,0.026,0.021
SF025,371486.0036,7217710.011,B,undetermined,0.332666667,2.796,0,0.008666667,90.961,0.176333333,4.172666667,0.809333333,0.095,0.060333333,0.667333333,0.510333333,0.237333333,0.007333333,0.006,0.070333333,2.173333333,0.003,0.002,LOD,0.025,0.021666667
SF026,371485.8587,7217708.135,B,undetermined,0.373,3.07,0,0.011,90.552,0.197,3.953,0.814,0.089,0.078,0.731,0.766,0.261,0.007,0.007,0.095,2.386,0.004,0.002,0.002,0.029,0.023
SF027,371485.9111,7217706.203,B,undetermined,0.357,2.983,0,0.011,91.235,0.189,3.687,0.724,0.085,0.056,0.695,0.599,0.271,0.005,0.007,0.075,2.319,0.004,0.002,LOD,0.025,0.019
SF028,371485.8619,7217704.121,B,undetermined,0.343,2.903,0,0.008,91.017,0.181,4.202,0.708,0.079,0.058,0.644,0.491,0.255,0.007,0.006,0.042,2.256,0.002,0.002,LOD,0.03,0.017
SF029,371485.7724,7217701.977,B,undetermined,0.231,2.846,0,0.01,91.657,0.122,3.671,0.741,0.087,0.058,0.604,0.494,0.249,0.006,0.007,0.043,2.212,0.003,0.002,LOD,0.025,0.016
SF03,371493.8231,7217706.013,B,midden_3,0.281,3.17,0,0.011,90.693,0.149,3.481,0.783,0.092,0.061,0.682,1.169,0.263,0.005,0.008,0.074,2.464,0.004,0.002,0.002,0.045,0.023
SF030,371485.7541,7217700.058,B,undetermined,0.4,2.841,0,0.011,91.196,0.212,3.87,0.765,0.095,0.064,0.68,0.542,0.22,0.008,0.007,0.079,2.208,0.003,0.002,LOD,0.027,0.018
SF031,371483.8163,7217700.012,B,undetermined,0.362,2.877,0,0.009,91.17,0.192,3.945,0.75,0.087,0.059,0.68,0.466,0.25,0.006,0.006,0.093,2.236,0.004,0.002,LOD,0.031,0.02
SF032,371483.8106,7217701.97,B,undetermined,0.353,3.254,0.43,0.012,90.473,0.187,3.853,0.775,0.09,0.059,0.675,0.723,0.238,0.006,0.008,0.068,2.529,0.005,0.002,LOD,0.027,0.02
SF033,371483.8222,7217704.151,B,undetermined,0.304,3.249,0,0.014,90.838,0.161,3.942,0.792,0.09,0.058,0.738,0.464,0.251,0.007,0.01,0.065,2.526,0.003,0.002,LOD,0.03,0.018
SF034,371483.899,7217706.083,B,undetermined,0.546,2.682,0,0.009,90.769,0.289,4.472,0.769,0.092,0.053,0.641,0.45,0.237,0.007,0.006,0.073,2.085,0.003,0.002,LOD,0.03,0.019
SF035,371483.794,7217708.058,B,undetermined,0.291,2.672,0,0.006,91.028,0.154,4.175,0.769,0.083,0.06,0.652,0.63,0.233,0.006,0.004,0.069,2.077,0.002,0.002,LOD,0.023,0.029
SF036,371483.8065,7217709.988,B,undetermined,0.399,2.644,0,0.008,91.035,0.211,4.296,0.763,0.086,0.06,0.662,0.483,0.228,0.006,0.005,0.055,2.055,0.003,0.002,LOD,0.029,0.019
SF04,371493.7096,7217703.995,B,midden_3,0.258,3.439,0.444,0.012,90.308,0.137,3.356,0.757,0.098,0.059,0.705,1.199,0.256,0.009,0.009,0.098,2.673,0.004,0.002,0.002,0.038,0.019
SF05,371493.841,7217702.048,B,midden_3,0.259,3.118,0,0.015,90.145,0.137,3.48,0.82,0.105,0.062,0.676,1.768,0.231,0.007,0.01,0.075,2.424,0.004,0.002,0.002,0.029,0.019
SF06,371493.6913,7217700.051,B,undetermined,0.29,3.428,0,0.014,90.77,0.153,3.522,0.8,0.092,0.069,0.745,0.744,0.261,0.008,0.009,0.099,2.664,0.005,0.002,LOD,0.03,0.024
SF07,371491.737,7217700.04,B,undetermined,0.387,3.306,0,0.01,90.55,0.205,3.471,0.789,0.096,0.058,0.744,1.07,0.275,0.008,0.007,0.102,2.57,0.005,0.002,0.002,0.025,0.018
SF08,371491.8449,7217701.934,B,midden_3,0.289,3.16,0.353,0.011,88.591,0.153,3.127,0.82,0.096,0.085,0.625,3.455,0.208,0.009,0.008,0.081,2.456,0.005,0.002,0.004,0.035,0.024
SF09,371491.6809,7217704.116,B,midden_3,0.356,3.188,0,0.013,89.889,0.188,3.454,0.808,0.103,0.073,0.608,1.961,0.262,0.008,0.009,0.084,2.478,0.005,0.002,0.003,0.039,0.02
SG01,371513.8276,7217649.995,C,undetermined,0.415,3.602,0,0.015,90.737,0.22,3.629,0.702,0.082,0.059,0.759,0.573,0.261,0.009,0.01,0.085,2.8,0.005,0.003,0.002,0.036,0.023
SG010,371511.9334,7217651.989,C,midden_4,0.285,3.758,0.369,0.01,90.42,0.151,3.363,0.79,0.093,0.06,0.815,0.778,0.242,0.008,0.007,0.059,2.921,0.003,0.002,0.002,0.037,0.023
SG011,371513.855,7217652.066,C,undetermined,0.282,3.252,0,0.009,91.184,0.149,3.712,0.713,0.08,0.058,0.673,0.55,0.231,0.007,0.006,0.052,2.528,0.004,0.002,LOD,0.026,0.023
SG012,371513.9419,7217654.113,C,undetermined,0.351,3.782,0.32,0.014,90.149,0.186,3.743,0.784,0.092,0.063,0.783,0.646,0.268,0.008,0.009,0.071,2.94,0.003,0.002,LOD,0.033,0.025
SG013,371511.7563,7217654.224,C,midden_4,0.385,3.61,0,0.011,90.364,0.204,3.831,0.821,0.092,0.06,0.762,0.612,0.284,0.008,0.007,0.073,2.806,0.004,0.002,LOD,0.041,0.027
SG014,371509.7615,7217654.197,C,midden_4,0.231,3.415,0,0.013,90.693,0.122,3.739,0.821,0.105,0.06,0.746,0.64,0.259,0.009,0.009,0.069,2.654,0.004,0.002,LOD,0.035,0.026
SG015,371507.5046,7217654.301,C,stone_wall_1,0.317,3.894,0,0.014,90.516,0.168,3.689,0.809,0.104,0.068,0.671,0.499,0.269,0.009,0.01,0.09,3.026,0.005,0.002,LOD,0.035,0.024
SG016,371505.749,7217654.168,C,stone_wall_1,0.289,3.391,0,0.011,90.335,0.153,3.76,0.839,0.106,0.061,0.685,1.006,0.271,0.005,0.008,0.07,2.636,0.006,0.002,0.002,0.03,0.023
SG017,371503.7443,7217654.07,C,undetermined,0.309,3.361,0,0.012,90.405,0.163,3.52,0.82,0.095,0.058,0.698,1.214,0.263,0.006,0.008,0.082,2.613,0.006,0.002,0.002,0.024,0.02
SG018,371503.7656,7217656.057,C,undetermined,0.278,3.494,0,0.011,90.804,0.147,3.625,0.796,0.103,0.059,0.714,0.614,0.266,0.008,0.008,0.068,2.716,0.004,0.002,LOD,0.044,0.02
SG019,371505.7653,7217655.851,C,undetermined,0.505,2.983,0,0.012,90.386,0.267,4.168,0.796,0.094,0.055,0.649,0.889,0.228,0.007,0.009,0.071,2.319,0.004,0.002,LOD,0.029,0.023
SG02,371511.9336,7217649.992,C,midden_4,0.198,3.686,0,0.012,90.477,0.105,3.787,0.766,0.087,0.067,0.777,0.645,0.272,0.008,0.009,0.061,2.865,0.004,0.002,LOD,0.036,0.027
SG020,371507.7369,7217655.848,C,undetermined,0.26,2.793,0,0.011,91.272,0.138,3.905,0.759,0.084,0.064,0.636,0.612,0.232,0.006,0.007,0.056,2.171,0.003,0.002,LOD,0.03,0.019
SG021,371509.7711,7217655.901,C,undetermined,0.358,3.294,0.427,0.012,90.504,0.189,3.844,0.793,0.077,0.094,0.737,0.532,0.262,0.007,0.008,0.07,2.56,0.003,0.002,LOD,0.036,0.021
SG022,371511.7608,7217656.04,C,undetermined,0.359,3.522,0,0.013,90.71,0.19,3.611,0.757,0.096,0.059,0.7,0.744,0.244,0.009,0.009,0.075,2.738,0.004,0.002,LOD,0.033,0.016
SG023,371513.8657,7217656.073,C,undetermined,0.270333333,3.206,0,0.009666667,91.18633333,0.143333333,3.766333333,0.789333333,0.084666667,0.057333333,0.61,0.489666667,0.247,0.006666667,0.006666667,0.056333333,2.492333333,0.002666667,0.002,LOD,0.033333333,0.022333333
SG024,371513.8538,7217658.215,C,undetermined,0.315,3.257,0,0.01,91.044,0.167,3.808,0.831,0.095,0.062,0.656,0.446,0.226,0.009,0.007,0.056,2.532,0.003,0.002,LOD,0.034,0.02
SG025,371511.6894,7217657.958,C,undetermined,0.429,3.546,0,0.015,90.814,0.227,3.463,0.717,0.105,0.145,0.787,0.555,0.28,0.008,0.01,0.067,2.756,0.003,0.002,LOD,0.036,0.023
SG026,371509.692,7217658.094,C,undetermined,0.432,3.711,0,0.014,90.382,0.229,3.886,0.797,0.086,0.056,0.741,0.517,0.263,0.007,0.01,0.073,2.885,0.004,0.002,LOD,0.034,0.024
SG027,371507.734,7217658.006,C,undetermined,0.299,3.102,0,0.011,91.282,0.158,3.722,0.741,0.092,0.065,0.625,0.528,0.239,0.006,0.008,0.068,2.411,0.004,0.002,LOD,0.029,0.017
SG028,371505.7456,7217658.025,C,undetermined,0.326,3.166,0.673,0.013,90.69,0.173,3.685,0.745,0.088,0.103,0.658,0.622,0.229,0.008,0.009,0.065,2.461,0.003,0.002,LOD,0.029,0.02
SG029,371503.8425,7217658.069,C,undetermined,0.497,3.329,0,0.013,90.585,0.263,4.077,0.746,0.09,0.074,0.66,0.505,0.268,0.008,0.009,0.066,2.588,0.003,0.002,LOD,0.032,0.02
SG03,371507.9981,7217649.893,C,stone_wall_1,0.262,3.814,0.313,0.012,90.36,0.138,3.282,0.727,0.092,0.073,0.773,0.92,0.265,0.009,0.008,0.133,2.965,0.009,0.003,0.002,0.024,0.021
SG030,371504.0167,7217659.999,C,undetermined,0.396,3.995,0,0.014,90.4,0.21,3.704,0.782,0.09,0.092,0.776,0.451,0.244,0.007,0.01,0.062,3.105,0.003,0.002,LOD,0.032,0.023
SG031,371505.8099,7217659.978,C,undetermined,0.355,3.586,0.281,0.011,90.955,0.188,3.435,0.733,0.08,0.065,0.63,0.558,0.255,0.007,0.007,0.067,2.787,0.004,0.002,LOD,0.031,0.023
SG032,371507.7071,7217660.04,C,undetermined,0.309,3.745,0,0.011,88.838,0.164,3.098,0.763,0.103,0.069,0.675,2.987,0.246,0.009,0.008,0.063,2.911,0.004,0.002,0.004,0.029,0.024
SG033,371509.7907,7217660.048,C,undetermined,0.227,3.131,0,0.013,91.214,0.12,3.835,0.822,0.083,0.057,0.629,0.433,0.241,0.006,0.009,0.054,2.434,0.002,0.002,LOD,0.037,0.019
SG034,371511.801,7217660.076,C,undetermined,0.375,3.077,0,0.008,90.893,0.199,4.109,0.825,0.099,0.059,0.623,0.412,0.255,0.007,0.006,0.048,2.392,0.002,0.002,LOD,0.044,0.023
SG035,371513.8301,7217660.136,C,undetermined,0.346,3.549,0,0.013,90.5,0.183,4.026,0.835,0.098,0.062,0.694,0.445,0.258,0.009,0.009,0.063,2.759,0.003,0.002,LOD,0.033,0.02
SG036,371503.9546,7217640.019,C,undetermined,0.331,2.946,0,0.008,90.584,0.175,4.363,0.856,0.09,0.058,0.659,0.552,0.236,0.006,0.005,0.063,2.29,0.004,0.002,LOD,0.032,0.022
SG037,371505.8439,7217640.085,C,undetermined,0.403,2.856,0,0.013,90.587,0.213,4.113,0.851,0.096,0.06,0.777,0.666,0.269,0.007,0.009,0.066,2.22,0.005,0.002,LOD,0.027,0.027
SG038,371507.8486,7217640.017,C,undetermined,0.331,3.186,0,0.006,90.921,0.175,3.901,0.819,0.086,0.057,0.707,0.48,0.232,0.006,0.004,0.064,2.476,0.004,0.002,LOD,0.037,0.025
SG039,371509.8712,7217640.039,C,undetermined,0.355,3.13,0,0.013,90.809,0.188,4.004,0.733,0.078,0.06,0.72,0.55,0.29,0.006,0.009,0.06,2.433,0.005,0.002,LOD,0.029,0.022
SG04,371505.9937,7217649.903,C,stone_wall_1,0.252,3.72,0.308,0.016,90.527,0.133,3.34,0.769,0.096,0.063,0.71,0.836,0.238,0.007,0.011,0.123,2.892,0.009,0.003,0.002,0.029,0.023
SG040,371511.9188,7217640.028,C,undetermined,0.319,3.194,0,0.012,90.791,0.169,3.988,0.722,0.076,0.06,0.748,0.58,0.24,0.008,0.008,0.072,2.483,0.005,0.002,LOD,0.024,0.023
SG041,371513.7934,7217640.012,C,undetermined,0.386,3.622,0.839,0.011,90.05,0.205,3.792,0.737,0.079,0.06,0.855,0.483,0.265,0.007,0.008,0.066,2.815,0.005,0.003,LOD,0.033,0.027
SG042,371513.8503,7217642.005,C,undetermined,0.295,2.937,0,0.01,91.121,0.156,3.808,0.789,0.073,0.062,0.714,0.627,0.223,0.008,0.007,0.066,2.283,0.004,0.002,LOD,0.035,0.019
SG043,371511.8478,7217642.004,C,undetermined,0.321,3.027,0,0.013,91.103,0.17,3.637,0.835,0.09,0.059,0.721,0.624,0.253,0.007,0.009,0.075,2.353,0.005,0.002,LOD,0.032,0.023
SG044,371509.7741,7217641.998,C,undetermined,0.259,2.691,0,0.01,91.266,0.137,4.019,0.816,0.093,0.059,0.665,0.495,0.229,0.006,0.007,0.055,2.092,0.003,0.002,LOD,0.029,0.023
SG045,371507.8492,7217642.009,C,undetermined,0.262,3.324,0,0.012,90.732,0.139,3.854,0.821,0.097,0.056,0.702,0.616,0.241,0.008,0.008,0.074,2.583,0.005,0.002,LOD,0.029,0.028
SG046,371505.8421,7217641.993,C,undetermined,0.298,2.989,0,0.008,91.023,0.158,3.982,0.816,0.09,0.06,0.709,0.466,0.238,0.006,0.006,0.061,2.324,0.003,0.002,LOD,0.033,0.019
SG047,371503.9258,7217642,C,undetermined,0.355,3.046,0,0.011,90.671,0.188,4.164,0.833,0.082,0.059,0.751,0.482,0.261,0.009,0.007,0.067,2.368,0.003,0.002,LOD,0.03,0.021
SG048,371503.9154,7217643.933,C,undetermined,0.331,3.035,0,0.009,90.55,0.175,4.274,0.852,0.093,0.059,0.671,0.582,0.239,0.006,0.006,0.067,2.359,0.005,0.002,LOD,0.036,0.02
SG049,371505.8688,7217643.99,C,undetermined,0.397,3.028,0,0.011,90.79,0.21,4.09,0.829,0.096,0.058,0.695,0.473,0.255,0.009,0.008,0.07,2.353,0.005,0.002,LOD,0.03,0.026
SG05,371504.0092,7217650.049,C,undetermined,0.238,3.052,0,0.012,91.313,0.126,3.334,0.729,0.082,0.058,0.661,0.921,0.237,0.005,0.008,0.095,2.372,0.007,0.002,0.002,0.024,0.02
SG050,371507.8713,7217644.055,C,undetermined,0.412,3.273,0,0.01,90.495,0.218,4.291,0.81,0.084,0.058,0.646,0.497,0.229,0.008,0.007,0.056,2.544,0.003,0.002,LOD,0.03,0.02
SG051,371509.8198,7217644.046,C,undetermined,0.29,2.852,0,0.008,91.066,0.154,4.015,0.829,0.103,0.06,0.63,0.536,0.268,0.008,0.006,0.048,2.217,0.004,0.002,LOD,0.03,0.021
SG052,371511.8713,7217644.066,C,undetermined,0.292,3.025,0,0.012,90.987,0.154,4.016,0.801,0.094,0.081,0.624,0.547,0.208,0.006,0.008,0.066,2.351,0.004,0.002,LOD,0.025,0.021
SG053,371513.7675,7217644.009,C,undetermined,0.349,3.1425,0,0.011,90.774,0.1845,4.0025,0.837,0.097,0.062,0.6505,0.578,0.241,0.0055,0.0075,0.058,2.4425,0.004,0.002,LOD,0.032,0.0185
SG054,371513.8491,7217647.962,C,undetermined,0.302666667,3.541666667,0,0.013333333,90.69133333,0.160333333,3.577,0.803,0.085,0.057,0.753333333,0.715,0.244,0.008,0.009,0.082333333,2.752666667,0.004666667,0.002,LOD,0.027333333,0.024333333
SG055,371511.7057,7217648.083,C,undetermined,0.331,2.839,0,0.008,91.342,0.175,3.955,0.702,0.072,0.064,0.653,0.452,0.253,0.007,0.006,0.051,2.207,0.003,0.002,LOD,0.034,0.019
SG056,371507.894,7217648.055,C,stone_wall_1,0.385,3.65,0,0.013,90.293,0.204,3.699,0.762,0.082,0.062,0.756,0.8,0.271,0.009,0.009,0.147,2.837,0.011,0.003,0.002,0.026,0.023
SG057,371505.9096,7217648.058,C,stone_wall_1,0.36,3.445,0,0.013,90.417,0.191,3.656,0.713,0.095,0.061,0.702,1.039,0.258,0.007,0.009,0.107,2.678,0.01,0.003,0.002,0.027,0.025
SG058,371503.8227,7217648.031,C,undetermined,0.31,2.94,0,0.01,90.708,0.164,4.136,0.845,0.091,0.061,0.65,0.61,0.292,0.007,0.007,0.08,2.285,0.006,0.002,LOD,0.03,0.023
SG059,371503.9362,7217646,C,undetermined,0.376,2.934,0,0.012,90.768,0.199,3.985,0.845,0.088,0.058,0.695,0.667,0.26,0.007,0.008,0.074,2.281,0.005,0.002,LOD,0.031,0.023
SG06,371503.7973,7217651.989,C,undetermined,0.256,3.161,0,0.013,90.965,0.135,3.619,0.729,0.085,0.062,0.821,0.72,0.246,0.007,0.009,0.084,2.457,0.005,0.002,0.002,0.027,0.022
SG060,371505.9172,7217646.081,C,undetermined,0.317,3.631,0,0.01,90.573,0.168,3.612,0.789,0.092,0.06,0.721,0.757,0.254,0.006,0.007,0.071,2.822,0.005,0.002,0.002,0.034,0.023
SG061,371507.8676,7217645.974,C,undetermined,0.286,3.104,0.357,0.008,90.556,0.151,3.981,0.856,0.096,0.059,0.703,0.549,0.287,0.006,0.005,0.059,2.413,0.004,0.002,LOD,0.032,0.022
SG062,371509.7842,7217646.039,C,undetermined,0.282,2.979,0,0.011,90.792,0.149,3.532,0.847,0.105,0.061,0.683,1.137,0.243,0.007,0.008,0.065,2.315,0.004,0.002,0.002,0.025,0.02
SG063,371511.6253,7217645.983,C,undetermined,0.31,2.987,0.336,0.011,90.598,0.164,3.858,0.849,0.094,0.064,0.72,0.742,0.256,0.007,0.007,0.057,2.321,0.003,0.002,LOD,0.031,0.021
SG064,371513.8312,7217646.179,C,undetermined,0.251,3.119,0,0.012,91.226,0.133,3.684,0.749,0.086,0.062,0.673,0.569,0.239,0.005,0.008,0.077,2.424,0.004,0.002,LOD,0.03,0.025
SG07,371505.7792,7217651.881,C,stone_wall_1,0.273,3.177,0.288,0.012,90.96,0.145,3.498,0.73,0.09,0.059,0.721,0.757,0.232,0.007,0.008,0.089,2.47,0.006,0.002,0.002,0.028,0.02
SG08,371507.8152,7217651.845,C,stone_wall_1,0.232,3.702,0,0.013,90.493,0.123,3.566,0.793,0.091,0.06,0.817,0.736,0.265,0.007,0.009,0.093,2.878,0.005,0.003,0.002,0.032,0.025
SG09,371509.878,7217652.048,C,midden_4,0.369,3.874,0,0.016,89.75,0.195,3.429,0.769,0.094,0.066,0.929,1.271,0.296,0.007,0.011,0.09,3.011,0.005,0.003,0.003,0.033,0.034
SH01,371501.7965,7217640.057,C,undetermined,0.338,3.13,0.393,0.011,90.814,0.179,3.947,0.67,0.073,0.062,0.722,0.48,0.246,0.006,0.008,0.062,2.433,0.005,0.002,LOD,0.029,0.022
SH010,371501.7568,7217642.099,C,undetermined,0.629,2.954,0,0.008,89.918,0.333,4.859,0.763,0.097,0.056,0.687,0.614,0.235,0.007,0.006,0.069,2.296,0.005,0.002,LOD,0.033,0.017
SH011,371501.7684,7217644.09,C,undetermined,0.391,3.198,0,0.008,90.496,0.207,4.19,0.822,0.095,0.056,0.704,0.536,0.279,0.007,0.006,0.056,2.486,0.004,0.002,LOD,0.033,0.018
SH012,371499.9835,7217644.218,C,undetermined,0.323,3.003,0,0.01,90.834,0.171,4.05,0.8,0.095,0.068,0.668,0.576,0.274,0.007,0.007,0.062,2.334,0.004,0.002,LOD,0.027,0.017
SH013,371497.8946,7217644.221,C,undetermined,0.255,2.685,0,0.009,91.147,0.135,4.211,0.85,0.094,0.062,0.631,0.454,0.214,0.008,0.006,0.047,2.087,0.004,0.002,LOD,0.027,0.018
SH014,371495.8723,7217644.083,C,undetermined,0.256,2.65,0,0.01,91.375,0.136,4.055,0.801,0.086,0.057,0.643,0.445,0.205,0.007,0.007,0.071,2.06,0.005,0.002,LOD,0.026,0.018
SH015,371493.8129,7217644.064,C,undetermined,0.245,3.145,0,0.009,91.093,0.13,3.857,0.838,0.093,0.058,0.623,0.442,0.277,0.006,0.006,0.071,2.444,0.004,0.002,LOD,0.031,0.022
SH016,371493.9076,7217646.095,C,undetermined,0.294,2.967,0,0.011,90.906,0.156,4.082,0.832,0.093,0.061,0.68,0.455,0.292,0.005,0.008,0.06,2.306,0.004,0.002,LOD,0.034,0.022
SH017,371495.8496,7217646.097,C,undetermined,0.347,2.964,0.345,0.011,90.8,0.184,4.012,0.842,0.092,0.058,0.681,0.442,0.25,0.006,0.007,0.055,2.304,0.004,0.002,LOD,0.031,0.019
SH018,371497.8757,7217646.03,C,undetermined,0.281,2.825,0,0.011,91.088,0.148,4.06,0.838,0.095,0.058,0.643,0.498,0.25,0.007,0.007,0.054,2.196,0.005,0.002,LOD,0.028,0.019
SH019,371500.024,7217646.112,C,undetermined,0.329,3.196,0,0.012,90.831,0.174,3.982,0.831,0.093,0.06,0.689,0.448,0.28,0.007,0.008,0.056,2.484,0.004,0.002,LOD,0.032,0.017
SH02,371499.816,7217640.056,C,undetermined,0.315,2.893,0,0.011,91.484,0.167,3.675,0.669,0.079,0.057,0.711,0.499,0.262,0.005,0.008,0.076,2.248,0.005,0.002,LOD,0.03,0.019
SH020,371501.7404,7217646.077,C,undetermined,0.432,2.957,0,0.01,90.738,0.228,4.153,0.835,0.093,0.057,0.709,0.514,0.242,0.007,0.007,0.06,2.298,0.004,0.002,LOD,0.03,0.02
SH021,371501.785,7217648.091,C,undetermined,0.212,2.985,0,0.011,91.438,0.112,3.795,0.735,0.077,0.059,0.602,0.486,0.237,0.007,0.008,0.065,2.32,0.004,0.002,LOD,0.029,0.02
SH022,371500.01,7217648.085,C,undetermined,0.363,2.975,0,0.014,90.87,0.192,4.223,0.73,0.086,0.059,0.692,0.458,0.242,0.007,0.01,0.058,2.312,0.003,0.002,LOD,0.036,0.017
SH023,371497.8967,7217647.978,C,undetermined,0.402,2.925,0.328,0.01,90.62,0.213,4.298,0.729,0.082,0.056,0.682,0.449,0.279,0.006,0.007,0.051,2.273,0.004,0.002,LOD,0.032,0.019
SH024,371495.8777,7217648.038,C,undetermined,0.236,3.111,0,0.008,92.125,0.125,3.29,0.499,0.064,0.059,0.642,0.425,0.225,0.006,0.005,0.062,2.418,0.004,0.002,LOD,0.024,0.019
SH025,371493.8727,7217650.113,C,enclosure_2,0.35,3.317,0,0.013,90.683,0.185,3.869,0.792,0.092,0.057,0.743,0.581,0.253,0.009,0.009,0.087,2.579,0.006,0.002,0.002,0.029,0.023
SH026,371496.0205,7217649.942,C,undetermined,0.263,3.633,0,0.016,90.941,0.139,3.663,0.709,0.091,0.06,0.723,0.448,0.246,0.008,0.011,0.067,2.824,0.004,0.002,LOD,0.037,0.017
SH027,371498.0363,7217649.96,C,undetermined,0.273,3.046,0,0.01,91.029,0.145,4.04,0.767,0.092,0.056,0.677,0.448,0.25,0.005,0.007,0.056,2.368,0.003,0.002,LOD,0.036,0.018
SH028,371499.8718,7217649.897,C,undetermined,0.359,3.064,0,0.008,90.908,0.19,3.993,0.766,0.093,0.059,0.635,0.613,0.229,0.006,0.006,0.061,2.382,0.004,0.002,LOD,0.031,0.019
SH029,371501.8711,7217650.029,C,undetermined,0.356,2.87,0,0.009,90.968,0.188,4.07,0.781,0.086,0.067,0.645,0.593,0.211,0.007,0.006,0.086,2.231,0.004,0.002,LOD,0.03,0.022
SH03,371497.9048,7217639.999,C,undetermined,0.287,2.772,0,0.01,91.07,0.152,4.074,0.787,0.093,0.062,0.72,0.5,0.237,0.008,0.007,0.072,2.155,0.005,0.002,LOD,0.027,0.024
SH030,371501.95,7217652.251,C,undetermined,0.264,3.109,0,0.009,91.054,0.14,3.756,0.799,0.09,0.063,0.619,0.67,0.247,0.007,0.006,0.072,2.417,0.004,0.002,LOD,0.03,0.02
SH031,371499.9876,7217652.196,C,undetermined,0.281,3.04,0,0.013,90.955,0.149,3.663,0.788,0.099,0.061,0.663,0.872,0.239,0.009,0.009,0.07,2.363,0.005,0.002,LOD,0.032,0.017
SH032,371497.9868,7217652.226,C,undetermined,0.294,3.796,0,0.012,90.232,0.156,3.721,0.804,0.112,0.065,0.746,0.785,0.292,0.006,0.008,0.059,2.951,0.005,0.002,0.002,0.037,0.018
SH033,371493.7199,7217651.924,C,enclosure_2,0.238,3.3,0,0.011,91.419,0.126,3.521,0.729,0.081,0.064,0.677,0.428,0.238,0.006,0.007,0.071,2.565,0.005,0.002,LOD,0.036,0.021
SH034,371493.7675,7217653.832,C,enclosure_2,0.212,3.059,0,0.009,91.363,0.112,3.68,0.758,0.087,0.07,0.648,0.528,0.245,0.006,0.006,0.062,2.378,0.003,0.002,LOD,0.033,0.018
SH035,371496.8924,7217654.608,C,undetermined,0.262,3.286,0,0.012,91.218,0.138,3.296,0.744,0.09,0.061,0.711,0.8,0.254,LOD,0.008,0.066,2.554,0.004,0.002,0.002,0.026,0.02
SH036,371498.0203,7217654.276,C,undetermined,0.208333333,3.311333333,0,0.014,91.365,0.110333333,2.810666667,0.679,0.111666667,0.059333333,0.718666667,1.164666667,0.237333333,0.009666667,0.010333333,0.093666667,2.574,0.006333333,0.002,0.002,0.029666667,0.014666667
SH037,371500.0293,7217654.189,C,undetermined,0.301,3.325,0,0.012,90.918,0.159,3.431,0.76,0.097,0.06,0.67,0.897,0.256,0.007,0.008,0.084,2.585,0.004,0.002,0.002,0.037,0.021
SH038,371501.9823,7217654.207,C,undetermined,0.361,3.313,0,0.009,90.759,0.191,3.683,0.811,0.094,0.066,0.675,0.75,0.232,0.007,0.006,0.088,2.575,0.006,0.002,LOD,0.029,0.023
SH039,371501.9041,7217656.214,C,undetermined,0.322,3.673,0,0.013,90.675,0.171,3.581,0.791,0.093,0.059,0.643,0.746,0.243,0.007,0.009,0.068,2.855,0.004,0.002,LOD,0.032,0.018
SH04,371495.8378,7217640.142,C,undetermined,1.052,3.167,0,0.018,87.969,0.557,6.242,0.733,0.092,0.056,0.823,0.64,0.276,0.007,0.012,0.069,2.462,0.004,0.002,0.002,0.03,0.022
SH040,371500.0236,7217656.205,C,undetermined,0.293,3.249,0,0.011,91.167,0.155,3.506,0.689,0.084,0.06,0.695,0.723,0.241,0.007,0.008,0.076,2.526,0.004,0.002,LOD,0.034,0.02
SH041,371498.0858,7217656.206,C,undetermined,0.322,3.347,0.317,0.01,90.779,0.171,3.409,0.707,0.103,0.062,0.7,0.862,0.246,0.006,0.007,0.088,2.602,0.004,0.002,0.002,0.038,0.02
